2025-01-13 01:36:51 - NOTIFICATION SENT TO LIBRARIAN: fadi | Notify Librarian:Albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: einstain@uta.ac.us Or by Phone: 111111veeinshamafehad
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: fadinuj | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: fadinuj | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: nadav | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: nadav | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: dori | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: dori | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: ddddd | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: ddddd | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: baruh | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: baruh | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: david | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: david | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: test | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: test | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: test | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: test | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: nadav1 | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:46:18 - NOTIFICATION SENT TO LIBRARIAN: nadav1 | Notify Librarian:asd | The book: The Catcher in the Rye is available now. | You can notify him by Email: asd Or by Phone: 112
2025-01-13 18:48:01 - NOTIFICATION SENT TO LIBRARIAN: fadi | Notify Librarian:albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: 1 Or by Phone: 1
2025-01-13 18:49:33 - NOTIFICATION SENT TO LIBRARIAN: fadi | Notify Librarian:albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: 1 Or by Phone: 1
2025-01-13 18:51:45 - NOTIFICATION SENT TO LIBRARIAN: 1 | Notify Librarian:albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: 1 Or by Phone: 1
2025-01-13 18:51:59 - NOTIFICATION SENT TO LIBRARIAN: 1 | Notify Librarian:albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: 1 Or by Phone: 1
2025-01-13 19:00:58 - NOTIFICATION SENT TO LIBRARIAN: fadi | Notify Librarian:albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: 1 Or by Phone: 1
2025-01-13 19:00:58 - NOTIFICATION SENT TO LIBRARIAN: 1 | Notify Librarian:albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: 1 Or by Phone: 1
2025-01-13 19:00:59 - NOTIFICATION SENT TO LIBRARIAN: assad | Notify Librarian:albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: 1 Or by Phone: 1
2025-01-13 19:00:59 - NOTIFICATION SENT TO LIBRARIAN: fadinuj | Notify Librarian:albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: 1 Or by Phone: 1
2025-01-13 19:00:59 - NOTIFICATION SENT TO LIBRARIAN: nadav | Notify Librarian:albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: 1 Or by Phone: 1
2025-01-13 19:00:59 - NOTIFICATION SENT TO LIBRARIAN: dori | Notify Librarian:albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: 1 Or by Phone: 1
2025-01-13 19:00:59 - NOTIFICATION SENT TO LIBRARIAN: ddddd | Notify Librarian:albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: 1 Or by Phone: 1
2025-01-13 19:00:59 - NOTIFICATION SENT TO LIBRARIAN: baruh | Notify Librarian:albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: 1 Or by Phone: 1
2025-01-13 19:00:59 - NOTIFICATION SENT TO LIBRARIAN: david | Notify Librarian:albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: 1 Or by Phone: 1
2025-01-13 19:00:59 - NOTIFICATION SENT TO LIBRARIAN: nadav1 | Notify Librarian:albert | The book: The Catcher in the Rye is available now. | You can notify him by Email: 1 Or by Phone: 1
